# DIST_PNC,OXFORD_COMMAS,NUM_PARAGRAPHS,NORM_FULL_STOPS,NORM_COMMAS,AVG_SENT_LEN,UNIGRAM_OVERLAP,BIGRAM_OVERLAP,TRIGRAM_OVERLAP,MATCHES_VOCAB_5K,MATCHES_VOCAB_10K,POLARITY,SUBJECTIVITY,SENTIMENT_ES,SENTIMENT_ML,SENTIMENT_ML_SCORE,FLESCH_READING_EASE_SCORE,FLESCH_KINCAID_GRADE_SCORE,SMOG_INDEX_SCORE,COLEMAN_LIAU_INDEX_SCORE,AUTOMATED_READABILITY_INDEX_SCORE,DALE_CHALL_READABILITY_SCORE,DIFFICULT_WORDS_SCORE,LINSEAR_WRITE_FORMULA_SCORE,GUNNING_FOG_SCORE,FERNANDEZ_HUERTA_SCORE,SZIGRISZT_PAZOS_SCORE,GUTIERREZ_POLINI_SCORE,CRAWFORD_SCORE,ADJ,ADP,ADV,AUX,UNK,CCONJ,DET,UNK,NOUN,NUM,UNK,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,UNK,UNK,SPACE
4.00000000,1.00000000,7.00000000,0.07871720,0.05539359,17.07500000,0.00319489,0.00177305,0.00165563,0.82362460,0.06634304,0.00493052,0.49485801,0.99998350,-1.00000000,0.00000000,75.84000000,7.80000000,10.00000000,8.07000000,9.90000000,7.28000000,73.00000000,8.50000000,9.95000000,107.70000000,102.97000000,45.56000000,2.10000000,0.10204082,0.15160350,0.13702624,0.15160350,0.00000000,0.07288630,0.16909621,0.00000000,0.38192420,0.00583090,0.09912536,0.18950437,0.01457726,0.16034985,0.06122449,0.00000000,0.27696793,0.00000000,0.00000000,0.01749271
8.00000000,0.00000000,7.00000000,0.07905983,0.08974359,21.10000000,0.00285714,0.00149477,0.00137363,0.82537517,0.04229195,0.12525666,0.46869739,0.99999999,-1.00000000,0.25000000,56.59000000,11.10000000,12.00000000,11.32000000,13.70000000,7.82000000,105.00000000,7.71428571,11.91000000,93.40000000,92.51000000,39.78000000,2.90000000,0.14529915,0.17521368,0.08333333,0.11752137,0.00000000,0.07051282,0.15598291,0.00000000,0.39743590,0.01282051,0.08333333,0.10683761,0.00641026,0.19017094,0.06196581,0.00000000,0.18162393,0.00213675,0.00000000,0.01282051
6.00000000,0.00000000,4.00000000,0.06094808,0.05869074,29.36666667,0.00270270,0.00145349,0.00132979,0.84674330,0.03575990,0.17006716,0.51362943,0.99999808,-1.00000000,0.00000000,58.86000000,12.30000000,11.90000000,9.88000000,15.20000000,7.83000000,113.00000000,13.75000000,13.98000000,93.20000000,91.49000000,40.55000000,2.70000000,0.15124153,0.19413093,0.12641084,0.17832957,0.00000000,0.06094808,0.16478555,0.00000000,0.39503386,0.01580135,0.05191874,0.16252822,0.00902935,0.16704289,0.06094808,0.00000000,0.24379233,0.00000000,0.00000000,0.00677201
2.00000000,1.00000000,1.00000000,0.07981221,0.06338028,22.55882353,0.00346021,0.00163934,0.00149031,0.87535817,0.04297994,0.10915616,0.45901611,1.00000000,-1.00000000,0.25000000,67.49000000,9.00000000,11.50000000,10.79000000,12.10000000,6.68000000,67.00000000,12.00000000,9.78000000,101.80000000,99.48000000,41.06000000,2.40000000,0.11737089,0.15727700,0.12206573,0.15492958,0.00000000,0.03286385,0.19718310,0.00000000,0.38732394,0.01408451,0.06338028,0.11032864,0.01173709,0.14319249,0.04929577,0.00000000,0.23004695,0.00000000,0.00000000,0.00938967
7.00000000,0.00000000,1.00000000,0.06128134,0.05013928,32.22727273,0.00373134,0.00186916,0.00164745,0.84360190,0.03001580,0.16904448,0.46159941,1.00000000,-1.00000000,0.25000000,56.12000000,13.30000000,12.80000000,9.47000000,16.20000000,7.80000000,81.00000000,12.20000000,14.98000000,90.40000000,90.79000000,40.28000000,2.60000000,0.17548747,0.15877437,0.08077994,0.15598886,0.00000000,0.06128134,0.14484680,0.00000000,0.35097493,0.00278552,0.13370474,0.20334262,0.00000000,0.13649025,0.08077994,0.00000000,0.27576602,0.00000000,0.00000000,0.01392758
6.00000000,0.00000000,5.00000000,0.07711443,0.04975124,23.23529412,0.00323625,0.00160256,0.00145773,0.83333333,0.04096045,0.00090109,0.50687668,0.99999983,-1.00000000,0.25000000,69.15000000,10.40000000,11.90000000,8.83000000,13.60000000,7.33000000,79.00000000,11.40000000,12.61000000,101.00000000,97.49000000,42.52000000,2.30000000,0.13432836,0.24129353,0.08208955,0.14179104,0.00000000,0.04726368,0.17412935,0.00248756,0.35074627,0.00995025,0.07711443,0.20398010,0.02487562,0.13681592,0.07213930,0.00000000,0.25373134,0.00000000,0.00000000,0.01243781
6.00000000,0.00000000,1.00000000,0.07532468,0.01558442,23.36363636,0.00338983,0.00164474,0.00147710,0.85673759,0.03404255,0.22369527,0.48955133,1.00000000,-1.00000000,0.25000000,71.07000000,9.70000000,10.90000000,8.36000000,12.20000000,7.01000000,68.00000000,11.60000000,11.12000000,102.90000000,100.40000000,43.96000000,2.20000000,0.15584416,0.19740260,0.11168831,0.17662338,0.00000000,0.08311688,0.18181818,0.00000000,0.37922078,0.00259740,0.10129870,0.15064935,0.04155844,0.10649351,0.04675325,0.00000000,0.24155844,0.00000000,0.00000000,0.02597403
9.00000000,0.00000000,5.00000000,0.04835165,0.06593407,31.22222222,0.00289017,0.00146843,0.00134048,0.75825627,0.05019815,0.13626664,0.48236748,1.00000000,0.00000000,0.50000000,53.38000000,14.40000000,14.60000000,11.56000000,19.30000000,9.00000000,123.00000000,13.40000000,17.06000000,87.70000000,84.09000000,35.90000000,2.90000000,0.13846154,0.25054945,0.08131868,0.11428571,0.00000000,0.07912088,0.21538462,0.00000000,0.37362637,0.00659341,0.06153846,0.08571429,0.09890110,0.14285714,0.04835165,0.00000000,0.14505495,0.00219780,0.00000000,0.00879121
7.00000000,0.00000000,6.00000000,0.09401709,0.03988604,20.82352941,0.00321543,0.00170068,0.00155039,0.83565891,0.02480620,0.00055945,0.39903004,1.00000000,-1.00000000,0.25000000,73.41000000,8.80000000,9.70000000,8.88000000,11.50000000,7.58000000,78.00000000,8.16666667,10.97000000,105.30000000,102.16000000,43.88000000,2.10000000,0.14814815,0.20512821,0.09971510,0.14245014,0.00000000,0.07977208,0.20797721,0.00000000,0.37037037,0.05698006,0.04843305,0.17378917,0.03988604,0.14529915,0.07122507,0.00284900,0.21082621,0.00000000,0.00000000,0.01424501
7.00000000,2.00000000,6.00000000,0.07514451,0.06069364,21.15625000,0.00336700,0.00184502,0.00170068,0.84924623,0.02847571,0.16403626,0.41551160,0.99966379,-1.00000000,0.25000000,72.50000000,9.10000000,9.70000000,8.94000000,12.10000000,7.27000000,71.00000000,10.20000000,11.40000000,104.40000000,102.16000000,43.44000000,2.10000000,0.22543353,0.19653179,0.08959538,0.15028902,0.00000000,0.08381503,0.08670520,0.00000000,0.35549133,0.00578035,0.08670520,0.20809249,0.00000000,0.17341040,0.05202312,0.00000000,0.22832370,0.00000000,0.00000000,0.01445087
