# DIST_PNC,OXFORD_COMMAS,NUM_PARAGRAPHS,NORM_FULL_STOPS,NORM_COMMAS,AVG_SENT_LEN,UNIGRAM_OVERLAP,BIGRAM_OVERLAP,TRIGRAM_OVERLAP,MATCHES_VOCAB_5K,MATCHES_VOCAB_10K,POLARITY,SUBJECTIVITY,SENTIMENT_ES,SENTIMENT_ML,SENTIMENT_ML_SCORE,FLESCH_READING_EASE_SCORE,FLESCH_KINCAID_GRADE_SCORE,SMOG_INDEX_SCORE,COLEMAN_LIAU_INDEX_SCORE,AUTOMATED_READABILITY_INDEX_SCORE,DALE_CHALL_READABILITY_SCORE,DIFFICULT_WORDS_SCORE,LINSEAR_WRITE_FORMULA_SCORE,GUNNING_FOG_SCORE,FERNANDEZ_HUERTA_SCORE,SZIGRISZT_PAZOS_SCORE,GUTIERREZ_POLINI_SCORE,CRAWFORD_SCORE,ADJ,ADP,ADV,AUX,UNK,CCONJ,DET,UNK,NOUN,NUM,UNK,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,UNK,UNK,SPACE
2.00000000,0.00000000,2.00000000,0.08187135,0.06432749,25.53846154,0.00609756,0.00384615,0.00367647,0.71481481,0.05555556,0.21527576,0.45691515,0.00000000,1.00000000,1.00000000,73.65000000,15.20000000,16.40000000,15.43000000,16.20000000,6.46000000,22.00000000,12.50000000,10.14000000,71.00000000,69.82000000,32.97000000,4.70000000,0.13450292,0.25730994,0.05263158,0.07017544,0.00000000,0.13450292,0.27485380,0.00000000,0.36842105,0.02339181,0.00000000,0.04093567,0.10526316,0.13450292,0.04678363,0.00584795,0.22222222,0.00000000,0.00000000,0.07017544
5.00000000,3.00000000,2.00000000,0.09777778,0.13333333,23.11764706,0.00617284,0.00393701,0.00355872,0.73529412,0.02205882,0.35155844,0.56773449,0.00000000,1.00000000,1.00000000,84.91000000,11.30000000,12.90000000,15.43000000,15.00000000,6.61000000,28.00000000,13.20000000,9.17000000,86.90000000,81.21000000,33.86000000,3.90000000,0.07555556,0.19111111,0.03555556,0.04444444,0.00000000,0.09333333,0.22666667,0.00000000,0.31555556,0.01777778,0.00000000,0.04000000,0.14222222,0.20888889,0.01777778,0.00000000,0.20000000,0.00000000,0.00000000,0.13777778
3.00000000,1.00000000,1.00000000,0.18181818,0.01298701,19.93333333,0.00729927,0.00460829,0.00413223,0.77178423,0.04149378,0.46250000,0.49125000,0.00000000,1.00000000,1.00000000,87.64000000,11.10000000,12.30000000,11.19000000,11.10000000,6.02000000,18.00000000,4.45454545,8.09000000,87.40000000,84.01000000,41.08000000,3.70000000,0.10389610,0.24025974,0.06493506,0.05844156,0.00000000,0.05194805,0.25974026,0.00000000,0.35714286,0.00649351,0.00000000,0.12987013,0.07142857,0.12337662,0.04545455,0.00000000,0.31168831,0.00000000,0.00000000,0.11688312
2.00000000,5.00000000,1.00000000,0.12941176,0.07647059,14.80952381,0.00662252,0.00398406,0.00375940,0.69029851,0.05223881,0.38413793,0.57172414,0.00000002,1.00000000,1.00000000,93.48000000,8.80000000,11.50000000,8.17000000,7.40000000,6.39000000,23.00000000,7.25000000,7.61000000,96.40000000,89.95000000,46.65000000,3.20000000,0.12352941,0.21764706,0.10000000,0.06470588,0.00000000,0.09411765,0.28235294,0.00588235,0.31176471,0.00588235,0.00000000,0.03529412,0.18235294,0.20000000,0.01176471,0.00588235,0.14117647,0.00000000,0.00000000,0.04705882
4.00000000,9.00000000,1.00000000,0.11538462,0.14743590,322.00000000,0.00709220,0.00421941,0.00383142,0.68679245,0.01886792,0.38140909,0.77518182,0.00000000,1.00000000,0.75000000,-181.37000000,111.40000000,0.00000000,19.06000000,141.70000000,18.81000000,25.00000000,75.00000000,108.99000000,-180.60000000,-180.42000000,-56.92000000,5.90000000,0.10256410,0.21794872,0.12820513,0.08333333,0.00000000,0.09615385,0.33333333,0.00000000,0.36538462,0.02564103,0.00000000,0.05769231,0.16666667,0.14743590,0.03846154,0.01923077,0.12179487,0.00000000,0.00000000,0.16025641
2.00000000,3.00000000,4.00000000,0.08796296,0.07407407,16.91304348,0.00628931,0.00409836,0.00378788,0.72692308,0.05769231,0.25811111,0.48522222,0.00021722,1.00000000,1.00000000,90.91000000,10.50000000,14.30000000,15.66000000,15.20000000,5.94000000,19.00000000,10.66666667,9.33000000,91.90000000,87.59000000,33.61000000,3.40000000,0.05555556,0.19907407,0.03240741,0.06481481,0.00000000,0.05555556,0.19444444,0.00000000,0.31944444,0.00462963,0.00462963,0.06018519,0.20370370,0.15740741,0.03240741,0.00000000,0.20370370,0.00000000,0.00000000,0.21296296
2.00000000,0.00000000,1.00000000,0.11979167,0.04687500,14.31818182,0.00636943,0.00418410,0.00404858,0.68924303,0.07171315,0.50916667,0.77111111,0.00000000,1.00000000,0.75000000,83.58000000,11.20000000,12.30000000,14.89000000,11.80000000,5.79000000,15.00000000,5.90909091,5.88000000,81.40000000,79.55000000,35.50000000,3.90000000,0.12500000,0.16666667,0.06250000,0.08854167,0.00000000,0.07291667,0.18750000,0.00000000,0.46875000,0.02083333,0.00000000,0.03645833,0.02083333,0.16145833,0.02083333,0.00000000,0.14583333,0.00000000,0.00000000,0.06250000
2.00000000,0.00000000,1.00000000,0.10404624,0.10404624,16.25000000,0.00645161,0.00400000,0.00389105,0.71484375,0.03906250,0.34505682,0.74706439,0.00000000,1.00000000,1.00000000,80.85000000,12.00000000,14.10000000,13.98000000,13.00000000,6.14000000,20.00000000,14.00000000,8.39000000,82.10000000,77.04000000,36.71000000,4.30000000,0.13872832,0.17341040,0.04046243,0.04624277,0.00000000,0.15606936,0.21965318,0.00000000,0.43352601,0.03468208,0.00000000,0.08670520,0.05202312,0.19653179,0.04624277,0.00000000,0.19653179,0.00000000,0.00000000,0.05780347
2.00000000,0.00000000,3.00000000,0.11009174,0.00917431,16.14285714,0.00909091,0.00621118,0.00584795,0.69811321,0.04402516,0.23034188,0.59401709,0.00000000,1.00000000,0.75000000,93.89000000,9.70000000,13.50000000,15.19000000,13.70000000,6.03000000,11.00000000,8.12500000,7.93000000,94.00000000,90.57000000,34.67000000,3.20000000,0.11009174,0.33944954,0.04587156,0.05504587,0.00000000,0.11009174,0.24770642,0.00000000,0.36697248,0.00917431,0.00000000,0.04587156,0.20183486,0.12844037,0.03669725,0.00000000,0.15596330,0.00000000,0.00000000,0.22018349
2.00000000,0.00000000,1.00000000,0.09411765,0.06470588,24.84615385,0.00641026,0.00418410,0.00393701,0.66935484,0.01209677,0.42656250,0.68177083,0.00000000,1.00000000,1.00000000,86.85000000,10.90000000,13.70000000,14.85000000,13.60000000,6.74000000,27.00000000,11.00000000,8.24000000,88.10000000,83.22000000,35.27000000,3.80000000,0.11764706,0.28823529,0.06470588,0.04705882,0.00000000,0.07647059,0.21176471,0.00000000,0.38235294,0.02352941,0.00000000,0.10000000,0.13529412,0.14117647,0.04705882,0.00000000,0.17058824,0.00000000,0.00000000,0.09411765
3.00000000,1.00000000,5.00000000,0.06597222,0.06250000,23.90909091,0.00574713,0.00325733,0.00294118,0.63141994,0.05135952,0.28744589,0.42402597,0.00000000,1.00000000,1.00000000,82.85000000,13.60000000,16.90000000,19.79000000,22.20000000,6.50000000,28.00000000,19.25000000,11.61000000,83.80000000,79.66000000,24.40000000,3.70000000,0.08680556,0.16666667,0.03472222,0.05208333,0.00000000,0.09027778,0.14930556,0.00347222,0.23958333,0.00347222,0.00000000,0.07291667,0.31944444,0.13194444,0.01388889,0.00694444,0.17708333,0.00000000,0.00000000,0.27777778
3.00000000,0.00000000,1.00000000,0.17766497,0.01015228,9.05555556,0.00609756,0.00389105,0.00371747,0.70740741,0.01481481,0.50647619,0.60995238,0.99999947,1.00000000,1.00000000,93.42000000,8.70000000,9.80000000,9.87000000,7.10000000,5.58000000,13.00000000,3.50000000,3.74000000,90.80000000,89.56000000,43.10000000,2.60000000,0.08121827,0.19796954,0.05583756,0.08121827,0.00000000,0.06091371,0.18274112,0.00000000,0.28426396,0.04568528,0.00000000,0.06598985,0.12690355,0.20304569,0.01015228,0.00507614,0.22335025,0.00000000,0.00000000,0.03045685
2.00000000,8.00000000,1.00000000,0.10928962,0.16939891,22.00000000,0.00552486,0.00377358,0.00362319,0.70848708,0.01845018,0.32794118,0.53018207,0.00000000,1.00000000,1.00000000,81.18000000,12.00000000,14.30000000,16.18000000,15.00000000,7.19000000,31.00000000,9.00000000,8.51000000,82.30000000,77.29000000,33.04000000,4.20000000,0.10382514,0.18032787,0.08196721,0.04918033,0.00000000,0.08743169,0.25136612,0.00000000,0.40983607,0.03825137,0.00000000,0.07650273,0.11475410,0.25136612,0.05464481,0.00546448,0.17486339,0.00000000,0.00000000,0.04371585
